127.0.0.1 - - [19/Nov/2025:16:50:20 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:21 +0530] "GET /Registration/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:21 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:24 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:26 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:28 +0530] "GET /Registration/profile.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:49 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:50:51 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:02 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:05 +0530] "GET /Registration/home.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:07 +0530] "GET /Registration/register.jsp HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:07 +0530] "GET /Registration/images/book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:07 +0530] "GET /Registration/images/coffee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:07 +0530] "GET /Registration/images/pen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:20 +0530] "GET /Registration/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:20 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:30 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:32 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:40 +0530] "GET /Registration/register.jsp? HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:44 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:51:46 +0530] "GET /Registration/home.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:20 +0530] "GET /Registration/home.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:20 +0530] "GET /Registration/home.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:20 +0530] "GET /Registration/home.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:21 +0530] "GET /Registration/home.jsp HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:33 +0530] "GET /Registration/ HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:34 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:40 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:53:41 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:54:47 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:55:01 +0530] "POST /Registration/LoginController HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:56:46 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:56:46 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:56:48 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:56:49 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:56:49 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:57:07 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:57:13 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:58:35 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:58:37 +0530] "GET /Registration/Forgot.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Nov/2025:16:59:03 +0530] "GET /Registration/register.jsp HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:01:41 +0530] "GET /Registration/register.jsp HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:01:42 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:01:43 +0530] "GET /Registration/Forgot.jsp HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:02:36 +0530] "POST /Registration/LoginController HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:02:44 +0530] "POST /Registration/LoginController HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:02:53 +0530] "POST /Registration/LoginController HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:04:35 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:04:40 +0530] "GET /Registration/profile.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:05:21 +0530] "POST /Registration/LoginController HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:05:22 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:05:23 +0530] "GET /Registration/login.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [19/Nov/2025:17:05:24 +0530] "GET /Registration/Forgot.jsp HTTP/1.1" 404 741
