127.0.0.1 - - [06/Dec/2025:12:07:46 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:48 +0530] "GET /SSManagement/ HTTP/1.1" 200 1894
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:48 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:48 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:53 +0530] "GET /SSManagement/register.jsp HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:53 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:57 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:57 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:58 +0530] "GET /SSManagement/register.jsp HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:58 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:59 +0530] "GET /SSManagement/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:59 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:07:59 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:06 +0530] "GET /SSManagement/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:06 +0530] "GET /SSManagement/login.jsp?msg=logout HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:06 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:08 +0530] "GET /SSManagement/home.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:08 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:10 +0530] "GET /SSManagement/profile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:10 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:10 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:16 +0530] "GET /SSManagement/courses HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:16 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:16 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:17 +0530] "GET /SSManagement/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:17 +0530] "GET /SSManagement/login.jsp?msg=logout HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:17 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:18 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:08:18 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:06 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:06 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:13 +0530] "POST /SSManagement/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:13 +0530] "GET /SSManagement/login.jsp?error=1 HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:13 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:18 +0530] "GET /SSManagement/login.jsp HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:18 +0530] "GET /SSManagement/assets/style.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Dec/2025:12:10:19 +0530] "GET /SSManagement/home.jsp HTTP/1.1" 200 2310
